References,Quantity,Value / MPN,Footprint,Manufacturer,Supplier part,Lifecycle / assembly note,3D model
TP265,1,R S1_TEST NC,TestPoint_Pad_D1.0mm,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,test-pad/no physical model
TP266,1,R TE,TestPoint_Pad_D1.0mm,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,test-pad/no physical model
TP267,1,R LEDPWM,TestPoint_Pad_D1.0mm,Qualified generic,JLCPCB/LCSC TBD,Exact passive MPN to freeze before assembly,test-pad/no physical model
"U201,U202",2,TC358870XBG(NOK) C3008712,Toshiba_P-VFBGA80_7x7mm_P0.65,Toshiba,C3008712,Obsolete/legacy; prototype stock only,yes
"U203,U204,U205,U206",4,TLV62569DBVR,SOT-23-5,Texas Instruments,C141836,Active,yes
U207,1,TPS65132B5YFFR,TI_DSBGA15_YFF_2.108x1.514mm_P0.4,Texas Instruments,,Active,yes
U208,1,MP3387AGRT-P,TQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,Monolithic Power Systems,,Active,yes
U209,1,PCA9306DCTR C123752,TSSOP-8_3x3mm_P0.65mm,Texas Instruments,C123752,Active,yes
U210,1,TCA9539PWR 1V8 DISPLAY GPIO,TSSOP-24_4.4x7.8mm_P0.65mm,Texas Instruments,,Active,yes
"Y201,Y202",2,SIT8008ACE73-18E-48.000000E,Oscillator_SMD_SiT_PQFN-4Pin_2.0x1.6mm,SiTime,C1507821,Active,yes
"PANEL_L,PANEL_R",2,VS025ZSM-NV0-69P0,External panel; mates with J201/J202,BOE,Display supplier TBD,External 1440x1600 NT57860 dual-DSI panel; controlled full specification required,external assembly item
