Reference,Value,Side,X_mm,Y_mm,Rotation_deg,DNP,3D_models
U10,TLV75528PDBVR,Top,186.0000,121.5000,0.00,no,1
U11,HD3SS3212IRKSR,Top,221.6000,115.7500,0.00,no,1
U12,TPS25751DREFR,Bottom,201.1000,94.8000,180.00,no,1
U13,CAT24C512WI-GT3,Bottom,217.5000,95.0000,180.00,no,1
U14,UPD720202K8-711-BAA-A,Top,212.5500,115.2500,0.00,no,1
U15,TLV803EA30DBZR,Top,200.5625,118.5000,0.00,no,1
U16,TPS2553-1DRVR,Top,220.6125,121.8500,0.00,no,1
U2,TPS568230RJER,Bottom,112.9000,123.0625,180.00,no,1
U201,TC358870XBG(NOK) C3008712,Top,141.9250,105.0750,0.00,no,1
U202,TC358870XBG(NOK) C3008712,Top,191.1750,106.4250,180.00,no,1
U203,TLV62569DBVR,Bottom,108.6375,112.5000,0.00,no,1
U204,TLV62569DBVR,Bottom,108.6375,115.9500,0.00,no,1
U205,TLV62569DBVR,Bottom,108.6375,119.4000,0.00,no,1
U206,TLV62569DBVR,Bottom,127.1000,131.8625,90.00,no,1
U207,TPS65132B5YFFR,Bottom,218.2000,127.5000,180.00,no,1
U208,MP3387AGRT-P,Bottom,203.7500,116.2875,90.00,no,1
U209,PCA9306DCTR C123752,Bottom,201.8500,104.9750,180.00,no,1
U210,TCA9539PWR 1V8 DISPLAY GPIO,Bottom,225.6375,98.5750,180.00,no,1
U3,TLV320AIC3204IRHBR,Top,117.5625,121.7500,0.00,no,1
U301,RT9742GGJ5 SD POWER (CM4 LITE ONLY),Bottom,130.5500,131.8625,90.00,no,1
U4,TPD4E05U06DQAR,Top,111.6150,118.0000,0.00,no,1
U5,TUSB320LAIRWBR,Top,203.1000,113.6750,0.00,no,1
U6,BQ25798RQMR,Bottom,221.8625,123.2250,180.00,no,1
U7,TPD2EUSB30DRTR,Top,114.5625,113.5000,0.00,no,1
U8,TPD4EUSB30DQAR,Top,221.8500,110.7650,90.00,no,1
U9,TPD4EUSB30DQAR,Top,226.4650,115.1500,0.00,no,1
Y1,24MHz,Top,205.4000,118.3500,0.00,no,1
Y201,SIT8008ACE73-18E-48.000000E,Top,119.7500,107.6000,0.00,no,1
Y202,SIT8008ACE73-18E-48.000000E,Top,203.7500,104.6000,0.00,no,1
