Functional_block,Unique_unrouted_nets,Net_names
Display control / power,6,"DISPLAY_1V8,LCD_VSN,LCD_VSP,L_LCD_RESET,L_S1_TEST,R_LCD_RESET"
HDMI,2,"L_3V3_HDMI,R_3V3_HDMI"
MIPI D-PHY,20,"L_DSIA_CLK_N,L_DSIA_CLK_P,L_DSIA_D0_N,L_DSIA_D0_P,L_DSIA_D1_N,L_DSIA_D1_P,L_DSIA_D2_N,L_DSIA_D2_P,L_DSIA_D3_N,L_DSIA_D3_P,L_DSIB_CLK_N,L_DSIB_CLK_P,L_DSIB_D0_N,L_DSIB_D0_P,L_DSIB_D1_N,L_DSIB_D1_P,L_DSIB_D2_N,L_DSIB_D2_P,L_DSIB_D3_N,L_DSIB_D3_P"
PD / charger / power distribution,2,"+3V3,GND"
Remaining low-speed / verify,1,TYPEC_FLIP
USB3 / Type-C mux,12,"USB3_RX_N,USB3_RX_P,USB3_TX_N,USB3_TX_P,USB_C_RX1_N,USB_C_RX1_P,USB_C_RX2_N,USB_C_RX2_P,USB_C_TX1_N,USB_C_TX1_P,USB_C_TX2_N,USB_C_TX2_P"
User controls / proximity / LEDs,1,LED_BOOST
