Net,Pad_count,Track_or_via_count,Has_routed_copper
R_DSIA_D3_N,2,0,no
R_DSIA_D3_P,2,0,no
R_DSIB_CLK_N,2,0,no
R_DSIB_CLK_P,2,0,no
R_DSIB_D0_N,2,0,no
R_DSIB_D0_P,2,0,no
R_DSIB_D1_N,2,0,no
R_DSIB_D1_P,2,0,no
R_DSIB_D2_N,2,0,no
R_DSIB_D2_P,2,0,no
R_DSIB_D3_N,2,0,no
R_DSIB_D3_P,2,0,no
R_HPDI,3,22,yes
R_LCD_LEDPWM,4,16,yes
R_LCD_RESET,3,0,no
R_LCD_TE,3,15,yes
R_LED1_N,2,0,no
R_LED2_N,2,15,yes
R_LED3_N,2,11,yes
R_PCKIN,2,17,yes
R_PFIL,2,15,yes
R_REFCLK,2,0,no
R_REXT,2,16,yes
R_S1_TEST,2,3,yes
SD_CLK,2,16,yes
SD_CMD,2,0,no
SD_DAT0,2,19,yes
SD_DAT1,2,0,no
SD_DAT2,2,0,no
SD_DAT3,2,0,no
SD_DETECT_A,2,0,no
SD_DETECT_B,3,0,no
SD_PWR,3,0,no
SD_PWR_ON,3,0,no
SPI_CLK,2,0,no
SPI_CS_N,2,0,no
SPI_MISO,2,0,no
SPI_MOSI,2,6,yes
SW1,3,18,yes
SW2,3,15,yes
SW_5V,5,0,no
TS,3,23,yes
TYPEC_ATTACHED_N,3,0,no
TYPEC_FLIP,2,0,no
TYPEC_INT_N,3,16,yes
UART_RX,2,0,no
UART_TX,2,0,no
USB1V05_FB,4,0,no
USB1V05_PG,2,11,yes
USB1V05_SW,2,10,yes
USB2_HOST_DM,4,0,no
USB2_HOST_DP,4,0,no
USB2_SERVICE_DM,4,0,no
USB2_SERVICE_DP,4,0,no
USB3_POR_N,3,0,no
USB3_RREF,2,0,no
USB3_RX_N,2,0,no
USB3_RX_P,2,0,no
USB3_TX_N,2,0,no
USB3_TX_P,2,0,no
USB3_XT1,2,0,no
USB3_XT2,2,0,no
USB_C_RX1_N,3,0,no
USB_C_RX1_P,3,0,no
USB_C_RX2_N,3,0,no
USB_C_RX2_P,3,0,no
USB_C_TX1_N,3,0,no
USB_C_TX1_P,3,0,no
USB_C_TX2_N,3,0,no
USB_C_TX2_P,3,0,no
USB_ILIM,2,0,no
USB_OC_N,3,0,no
VBAT_SYS,14,0,no
VBUS_CHARGE,16,0,no
VBUS_USB_HOST,5,0,no
VCC_5V,3,13,yes
VOL_DOWN_GPIO17_N,2,11,yes
VOL_DOWN_N,2,6,yes
VOL_UP_GPIO24_N,2,11,yes
VOL_UP_N,2,6,yes
WIFI_ENABLE_N,2,0,no
WLED_COMP,2,13,yes
WLED_COMP_RC,2,3,yes
WLED_FREQ,2,27,yes
WLED_ISET,2,0,no
WLED_OVP,3,0,no
WLED_SW,4,11,yes
nPI_LED_PWR,2,10,yes
